ID,Tweets,User,Location,Follower Count,Following Count,Number of Tweets,Account Created Date,Account Description,Verified,Favourites Count,Date,Subjectivity,Polarity
1284966827211227140,"Remember when you railed against federal government overreach, #MAGA folks? https://t.co/0z23kVLvn5",Fight4Goodness,"North Carolina, USA",3586,3952,29618,2017-01-31 17:22:35.000000,"Nonpolitical until I realized it *is* happening here. Tweets are my opinion, unless they're factual.",False,12477,2020-07-19 21:49:31.483595,0.0,0.0
1284966812157907041,@druid1547 @IngrahamAngle God bless you we really are the best in the world at defeating the nasty Chinese virus #AmericaisAwesome #Trump2020 #MAGA #FordMustang,totalconservat1,,2,33,30,2020-07-18 19:20:26.000000,I’m just a total conservative guy with classic family values.,False,11,2020-07-19 21:49:31.483595,0.375,0.04999999999999999
1284966794541838339,@gdvass1 I understand your frustration. It happens to me to. Don't give or let them censor us. 🇺🇸💜 #UnitedWeStand #MAGA,MistyFranklin_,,1837,2149,572,2020-06-02 21:40:28.000000,I'm a patriotic woman that has been married for 20years to @EdwinCFranklin.  #Trump2020 #american #MAGA,False,309,2020-07-19 21:49:31.484594,0.0,0.0
1284966773574340608,@leighsales And every politician in the world should slap the media around for their blatant #FakeNews just like @realDonaldTrump did with this lightweight. #MAGA,PeterCastieau,"Perth, Western Australia",313,331,2676,2016-06-10 02:41:11.000000,"Conservative, Salesman, Single plane golf swing, lefty anonymous trolls blocked",False,6444,2020-07-19 21:49:31.484594,0.5,-0.5
1284966751084609536,How is Donald Trump creating jobs? By paying them to cheer for him. #maga #nopinchewall ~ https://t.co/zYcPt6217k,nopinchewall,On Twitter,40,0,7688,2017-08-02 13:37:53.000000,Twitter anti-Trump bot powered by humans. Go to https://t.co/dULvyTtJkH for tweet tools to #ResistTrump,False,0,2020-07-19 21:49:31.484594,0.0,0.0
1284966743228723201,@JoeBiden The hard truth is the failure you've had in the last 47 years.  Please explain your failures.   I'll wait.   #TRUMP2020 #MAGA #KAG,PROLIFEMAGA,,5956,6549,17482,2016-03-09 16:25:05.000000,Jesus is my savior.❤  He died so all who believe may live. #CONSERVATIVE I am here to support #POTUS #MAGA 🇺🇸 I block stupid people.,False,21845,2020-07-19 21:49:31.484594,0.30277777777777776,-0.2027777777777778
1284966739692990464,@llanahan @connor_guercio @SheryllCashin Did not take long for the #MAGA idiots to shit on a fine republican once again,Birds76Flyers,Collingswood,622,365,919,2013-03-22 05:36:42.000000,What we need in Washington is not more political tactics – we need more good ideas.” – Barack Obama,False,400,2020-07-19 21:49:31.485583,0.625,-0.15833333333333333
1284966738032046083,@jimscileppi @marc_Q1 @joybellabella @okabaeri9111 @GiaSails @PensacolaPatri1 @Angel1350852961 @maga_magnolia @CatPowerGQ @PeggyHausmann @CarrieR98274299 @Yvette_acunurse @yessamm2 @jeepgirl9272 @RaabeTawnie @SilverFOXStudi1 @OKaywestra @TawniBoyd @Train_Posts @mikedeighan2 @soul_katz @WartSimone @PRich2009 @ThomasFarringt5 @EtymologyTweet @Slayer781698088 @DamCL3 @MAGABotAQ @GeneralWarz @Alpha_Grendel @FreeSeoTips1 @Bkfor45 @KarenLadybug1 @AnnaAtTheSummit @ArmedWithGrace @BroncoB41813904 @americandream09 @OGKBEAR @MelanieMetz6 @RogerFritz7 @klc4_trump @HoneyPatriotMom @CCFor2A @EdgyT560 @ThatGirl0070 @brown_eyeedgirl @god7steve @Ecomemory1 @KR_KAG Who else is coming back to pickup more patriots? #Maga🇺🇸,wilhelmharvey72,somewhere in New England,1597,1587,932,2020-07-02 13:07:30.000000,"#God #1A #2A #leo #bluelivesmatter! vets,flag, Uncle Sam!Married no dm dates please! armedpotentiallydangerous. Alpha ifbap #Maga only,Guns,guns, 🇺🇸🙏❤",False,720,2020-07-19 21:49:31.485583,0.25,0.25
1284966735951441920,"""They wheel him [@JoeBiden] out"" &amp; ""he doesn't know he's alive""; interesting comments by @POTUS @realDonaldTrump ... 🤔 #MAGA #FNS #FoxNews #CNN #ChrisWallaceTrumpInterview #Election2020",HashtagSpiruli,The Molten Core,731,1106,87365,2014-05-29 03:53:30.000000,The most powerful Tweets in the World!,False,4114,2020-07-19 21:49:31.485583,0.45,0.3
1284966696718139397,"@FelixAnchor__ @Anonagain3 @dedona51 @CorinnaElite @Robray299 @Twither407 @servant_777 @KarenLadybug1 @sandyriccobono @IBAConservative @BourdinFred @outpost226 @safety_canada7 @Danbalkwill1 @RNinMI @feistycatz @DrG_lovesMAGA @veytia_jorge @lawlerchuck1 I follow back faster than a group of #MAGA supporters following a #Goya restocking truck 🚚 into a Walmart 🚀 without mask.   I’m #AQ, I’m the @MagaBotAQ bot 🤖 the #BabyCrats warned you about.   Let’s win elections 🗳 together 🇺🇸 https://t.co/PypTPP4Ebm",MAGABotAQ,,3931,3819,12868,2020-05-13 22:28:45.000000,"Now on Parler! Troll or Bot depend on what socialist you ask, God fearing.. Matt 15:14 software installed. Meme generator, UV light 💡for safety. #MAGA",False,8011,2020-07-19 21:49:31.485583,0.16666666666666666,0.26666666666666666
1284966666577707009,@joncoopertweets @MeidasTouch Reality TV hacks make sh*tty presidents. 🇺🇸🤑  #MAGA #MAGA2020 #DeleteTrump https://t.co/Y73Cv0iwNO,FlowerFishFrog1,"San Francisco, CA",50,528,1190,2019-01-31 18:54:36.000000,East coast frog in a West coast pond. Born broke.,False,2572,2020-07-19 21:49:31.486593,0.0,0.0
1284966657698467847,@MrsCarrion1 @NYGovCuomo #AndrewCuomo #BillDeBlasio #Qanons #GreatAwakening  #Trump2020NowMoreThanEver #MAGA #QAnon   Its an INSURGENCY disguised as Pandemic &amp; Protest  &amp; these 2  r Traitors!  DEFEATING THE DEEP STATE 4 DUMMIES: 🤪👉 https://t.co/E9ogENxmCE 😳 https://t.co/S2dyX2Q59d,Jokes2Power,,1269,3104,8677,2020-03-31 18:54:04.000000,"JOKES 2 POWER - Liberty, Freedom, Equality, TRUTH, Comedy, #1a... Oh and jokes!  My 7th a/c - Sorry Dorsey but u just can't keep a gr8 Comedic Subversive down!",False,5541,2020-07-19 21:49:31.486593,0.4,0.0
1284966622793433094,@Gunny_Q @Quality_Qontrol ww3 will not be televised. #MAGA,Quality_Qontrol,"Colorado, USA",453,841,8086,2018-01-23 23:38:28.000000,"Eyes open. If it feels like the past few months have been crazy, buckle up....",False,4374,2020-07-19 21:49:31.826763,0.0,0.0
1284966602837024768,"@Frank_Schaeffer Burning cities, churches, and businesses is Nazism and terrorism!   So fuc* you!   #MAGA",PatrikOBP,,113,218,1522,2019-02-10 15:19:15.000000,"A football fan that likes beer! I am a capitalist, a former Democrat, and extremely funny!",False,12527,2020-07-19 21:49:31.827762,0.0,0.0
1284966466589204482,@Muhamma54994860 I’m excuse me but in your bio it says you’re for #Trudeau &amp; #MAGA That can’t be possible.,BrownEyedWarden,"Ontario, Canada",754,1020,8157,2018-02-09 02:03:48.000000,I'll show you my #whiteprivilege if you show me yours! #homeschoolmom #fitnessenthusiast #wearerofmanyhats,False,19081,2020-07-19 21:49:31.827762,0.525,-0.025
1284966428454588417,@jimscileppi @marc_Q1 @joybellabella @okabaeri9111 @GiaSails @PensacolaPatri1 @Angel1350852961 @maga_magnolia @CatPowerGQ @PeggyHausmann @CarrieR98274299 @Yvette_acunurse @yessamm2 @jeepgirl9272 @RaabeTawnie @SilverFOXStudi1 @OKaywestra @TawniBoyd @Train_Posts @mikedeighan2 @soul_katz @WartSimone @PRich2009 @ThomasFarringt5 @EtymologyTweet @Slayer781698088 @DamCL3 @MAGABotAQ @GeneralWarz @Alpha_Grendel @FreeSeoTips1 @Bkfor45 @Aug_1405 @RLanceNorton @8_27J @USA4TRUMP2016 @SistaSeattle @StaceytheGhost @cookiem89151957 @MiracleonIce12 @lovebaldeagles @daughterUSA_Rev @DrG_lovesMAGA @KathyVotesRed @nascarred14 @SusanIverach @777stl @theR_Man_ Thanks for patriot hookup! Ifbap! #Maga #kag #Trump2020 Have a great day patriots!!💪🇺🇸🇺🇸🇺🇸,wilhelmharvey72,somewhere in New England,1597,1587,932,2020-07-02 13:07:30.000000,"#God #1A #2A #leo #bluelivesmatter! vets,flag, Uncle Sam!Married no dm dates please! armedpotentiallydangerous. Alpha ifbap #Maga only,Guns,guns, 🇺🇸🙏❤",False,720,2020-07-19 21:49:31.827762,0.475,0.55625
1284966424633577472,@BBCTwo  Fake News trying to attack @POTUS  about his twitter posts. Typical left wing bias. Go DT #MAGA Drain that Swamp!,MBCBirdandPest,"Poole, Dorset.",586,794,3468,2012-02-29 16:23:33.000000,CEO of MBC Bird and Pest Solutions Ltd. An ethical professional pest control company operating throughout Dorset and Hampshire. BPCA members.,False,694,2020-07-19 21:49:31.827762,0.5,-0.2222222222222222
1284966371126804482,"OMG..I had to do a doubletake..doesn't look like #KamalaHarris..WEIRD. She looked better before she had work done. If I were her, I would ask for a full refund. #Breitbart #GatewayPundit #MAGA #Trump2020 #KAG https://t.co/TJW5V7R4P2",riclewu,,198,228,12195,2016-02-25 16:33:12.000000,,False,54271,2020-07-19 21:49:31.828768,0.525,0.425
1284966366345191424,"I listened.  I laughed in incredulity.  I shook my head.  Dear fellow citizens: We need a new president; this one's broken.  Please, for the love of basic decency, VOTE in November.  #PleaseAndThankYou.  #LordHaveMercy...  #2Chronicles714 🙏🏾 ← #MAGA? 🇺🇲 https://t.co/lZPFTGXePm",a_t_needs_God,Northern California,326,840,24062,2012-10-19 19:44:25.000000,"Recipient of God’s grace & mercy thru Jesus. Deeply flawed but learning. I like peace, beauty, TV, roller coasters. Love 2 sing: IG (same handle) / YouTube (↓↓)",False,24239,2020-07-19 21:49:31.828768,0.35590909090909095,0.18727272727272726
1284966365988884484,@realDonaldTrump should just go ahead and release your tax returns #MAGA #TrumpsTaxReturns,auditschmaudit,"Washington, DC",7,32,3460,2017-01-18 02:28:31.000000,Transparency in government.,False,9,2020-07-19 21:49:31.828768,0.0,0.0
1284966365527334912,Every student has an internet connection and computer at home #FakeHomeSchoolFacts IF YOU SELFISH FUCKS DON’T WANT TO OPEN &amp; TEACH.. THAN GIVE UP THE TITLE &amp; PAYCHECK! #DefundTeachersUnions #KidsLivesMatter #RealEducationMatters #KidsFirst #schoolchoicenow #MAGA https://t.co/D0kOzJdEa2,64CaliGirl,Sunny Southern California ,1135,2675,13250,2009-01-04 17:35:09.000000,Proud Military Mom. Smile & Enjoy Life :) God Bless America🇺🇸 Please Stop Voting In Corrupt Democrats #USA #KAG #FactsMatter,False,10762,2020-07-19 21:49:31.829756,0.75,-0.25
1284966280894705665,"@realDonaldTrump gave the worst interview from a so called president ever, and that is from any country  on earth.. HORRIBLE #TrumpMeltdown #VoteBlueToEndThisNightmare #BlueWave2020 #MAGA",Antonio29579750,,3,101,391,2017-06-11 11:54:05.000000,,False,123,2020-07-19 21:49:31.829756,1.0,-1.0
1284966219611766787,@RedWingGrips This was from the Fisting &amp; Flipper 🤮interview  with the NYT.  Look at Hanx neck... WTF is that??   Two species: Pedovore &amp; Non PEDOVORE ? #SundayThoughts #MAGA https://t.co/ARqU8xgeMF,SweetTeaSouthH1,Censored,845,1194,18781,2019-05-14 16:38:50.000000,May God Bless You All in the coming months. ❤️ Parler -Christy@ZChick See you there!,False,20427,2020-07-19 21:49:31.829756,1.0,-0.5
1284966216356917248,@realDonaldTrump #DonaldtRump @realDonaldtRump is using #Gestapo unmarked unbadged masked police??? To pick up and harass people who dare to protest Heir Führer's wrong backward and life threatening policies.  This is not #MAGA.  This is #Nazi,picturethis808,"Honolulu, Hawaii",1186,2374,14518,2009-01-18 02:25:48.000000,"i asked for pizza, not an opinion. Anything u have to say is delaying me getting to my pizza.",False,4204,2020-07-19 21:49:31.829756,0.9,-0.5
1284966182643208194,@keithboykin @jemelehill And more than that voted TWICE for your favorite exalted useless half-breed.  What's your point?  #BlackTwitter #halfblackisntBLACK #lgbtObama #BlacksForTrump #MAGA https://t.co/VGawu21ioJ,VinnieBTC,"35.1462° N, 79.0021° W",484,1101,3600,2017-12-28 14:08:37.000000,#Bitcoin mostly-ist accumulating slowly. 💰 Fairly Frugal/Minimalist. HODL & DIVERSIFY.   @diversyfund @streitwise @fundrise,False,2821,2020-07-19 21:49:31.830756,0.5666666666666667,0.16666666666666666
1284966175957569536,"@ThatchedBack Welcome to #MAGA !  We won't always agree with you but we will always care about and love you.  MAGA isn't about race, religion, sex, or even political party.  We're all about LOVING America and doing what we MUST do to protect US.  #MAGAFOREVER #WWG1WGA #TRUMPforUS",Sweethajji,E Tennessee,3863,4155,39430,2008-07-14 16:26:44.000000,I LOVE GOD more than anything. #sinnerSAVEDbyGRACE The only hope for America is Jesus!  PRESIDENT Trump fan. That banner pic! LOL!!! #MAGA #KAG2020 #WWG1WGA,False,23386,2020-07-19 21:49:32.266750,0.6375,0.525
1284966158026723328,@realDonaldTrump Dear #MAGA: Twitter censored this tweet because it's a bunch of lies.  Think about it. He's the president. Do you really think if this were true people wouldn't be being arrested for it?  I guarantee you Obama and Biden will never be arrested.  BECAUSE THEY'RE NOT THE CRIMINALS.,UROCKlive1,Beautiful Northern California,163965,81396,191646,2009-11-06 17:02:02.000000,"Not a ghost, just a reminder.  Fan of the *real* media and the ""deep state"" aka the ""rule of law.""  Not a fan of mobsters and liars.  Democracy is worth saving.",False,32369,2020-07-19 21:49:32.266750,0.42500000000000004,0.275
